video_id,domain,model_type,summary,rouge1_f,rouge2_f,rougeL_f,bertscore_f
h2rR77VsF5c,medical,base,"Cancer is a complex disease affecting over 14 million people at any given time, with more than 100 different types and no single cure. While we have made significant advancements in science and technology, finding a cure for all types of cancer remains elusive. Cancer arises when normal cells accumulate mutations and can no longer be detected or self-destruct, allowing for unchecked growth and invasion of nearby tissues or metastasis to distant organs. Treatments typically include surgery, radiation, chemotherapy, hormone therapy, immunotherapy, and targeted therapies, but they are not 100% effective and often fail in clinical trials with real patients due to the complexity and differences between lab-grown cells and actual tumors. To find cures for all types of cancer, we need new, better ways of studying cancer using more complex models that better represent the actual tumor environment.",0.48632218844984804,0.1345565749235474,0.24316109422492402,0.8840793371200562
GkxrJSTLH_s,medical,base,"The speaker, who has had experience with Hodgkin's lymphoma, shares their personal insight into the fear and fascination of cancer. They explain that SciShow has produced numerous videos on cancer-related topics, and in this video, they discuss chemotherapy and its side effects, as well as new treatment options and advancements in cancer research. The speaker expresses the importance of understanding cancer and its treatments to help cope with the diagnosis. They also recommend reading related books for further knowledge and comfort. The video then delves into chemotherapy, its purpose, and the side effects, while also highlighting new treatment options and advancements in cancer research.",0.39867109634551495,0.11371237458193979,0.21262458471760798,0.8840793371200562
EKEWk4oWmjY,medical,base,"The speaker shares their personal struggle with fear and worry due to arthritis and its impact on their mental health, leading to panic attacks, insomnia, and fatigue. They were surprised to learn that mental and physical health are closely connected and spoke with Dr. Alan Welch, a medical doctor, about the importance of considering mental health, social well-being, and other resources in defining health. Dr. Welch emphasizes that health goes beyond the absence of disease and includes factors such as genetics, environment, relationships, education, and employment, all of which impact a person's ability to lead a full life.",0.4874551971326165,0.20216606498194944,0.26523297491039427,0.8840793371200562
znnp-Ivj2ek,medical,base,"Bacteria, which are single-celled microorganisms, are the oldest forms of life on Earth and have a greater total biomass than plants and animals combined. They exist almost everywhere, including on human skin and inside the human body. Most bacteria are harmless or even beneficial, contributing to digestion and immunity. However, some can cause infections ranging from minor to deadly. Antibiotics, derived from chemicals or natural sources, have been effective in treating bacterial infections since the 20th century. They work by disrupting bacterial cell walls or interfering with vital processes, leaving human cells unharmed. However, the effectiveness of antibiotics is decreasing due to bacterial resistance, which arises from random mutations that give bacteria an advantage in survival.",0.39864864864864863,0.1020408163265306,0.23648648648648646,0.8840793371200562
CNbnLgetqHs,medical,base,"In 1928 at a London lab, a colony of penicillium mold growing on a petri dish left by Scottish scientist Alexander Fleming during his vacation inadvertently created a bacterial-free zone. Fleming discovered that the mold was producing a compound, later named penicillin, to defend itself against nearby bacterial colonies. Penicillin works by disrupting bacterial cell walls' synthesis, causing the walls to break down and the bacteria to die. This two-pronged attack is effective against a wide range of bacteria but is harmless to human cells, which don't have cell walls. Penicillin was initially a laboratory curiosity, but its potential was later recognized and led to significant advancements in antibiotic therapy.",0.42711864406779665,0.12286689419795223,0.23050847457627122,0.8840793371200562
fKO6vW-_Xvg,medical,base,"The 21st century is predicted to be the age of biology, with advancements in 3D printing and synthetic biology leading to an information revolution in this field. Biology will play a significant role in solving major 21st century issues such as pandemic prevention, food technology, food security, ocean health, and climate change. Biotech companies in the West are utilizing big data and artificial intelligence to develop new drugs and products, but China is rapidly catching up and may soon become a leading innovator in this field. China's biopharmaceutical industry has already made significant advancements in recent years, and its ambition to go from manufacturer to innovator is just beginning. The balance of power in gene editing and synthetic biology may shift dramatically in the coming years, with China emerging as a formidable force. This is reminiscent of the early days of the internet in the late 1990s.",0.5808383233532934,0.2590361445783133,0.3652694610778443,0.8840793371200562
uOcpsXMJcJk,medical,lora,"Have you ever wondered what happens to a painkiller, like ibuprofen, after you swallow it? Medicine that slides down your throat can help treat a headache, a sore back, or a throbbing sprained ankle. But how does it get where it needs to go in the first place? The answer is that it hitches a ride in your circulatory bloodstream, cycling through your body in a race to do its job before it's snared by organs and molecules designed to neutralize and expel foreign substances. This process starts in your digestive system. Say you swallow an ibuprofen tablet for a sore ankle. Within minutes the tablet starts disintegrating in the acidic fluids of your stomach. The dissolved ibuprofen travels into the small intestine and then across the intestinal wall into a network of blood vessels. These blood vessels feed into a vein, which carries the blood and anything in it to the liver. The next step is to make it through the liver. As the blood and the drug molecules in it travel through liver blood vessels, enzymes attempt to react with the ibuprofen molecules to neutralize them. The damaged ib",0.45843828715365237,0.11645569620253166,0.21662468513853902,0.8539250493049622
jP0qT6GpBVY,medical,lora,"The human heart, a marvel of biological engineering, is responsible for pumping life-sustaining blood throughout the body. However, this vital organ is not unstoppable, and one of the most feared cardiovascular events is a heart attack claiming around 7 million lives worldwide every year. But what causes it in the first place? You see, like all muscles, a heart needs oxygen to function properly it gets the supply of oxygenated blood from vessels called coronary arteries. However, due to various reasons, fatty deposits or plaque start developing on the walls of these arteries. At times, these fatty plaques can get hardened, lumpy or inflamed, causing a partial blockage that reduces the flow of oxygenated blood. If this plaque ruptures, your body perceives it as any other injury and within minutes starts to form blood clots around it, leading to the complete blockage of the artery. As a result, blood flow is cut off to the heart muscles and oxygen-starved cells begin to die within a few minutes, leading to a heart attack. known as myocardial infarction. If help is not received immediately, things may go downhill",0.4171428571428571,0.13218390804597702,0.21714285714285714,0.8539250493049622
7D-gxaie6UI,medical,lora,"This is the story of the deadliest infectious disease of all time. It's been with us for three million years since before humans were homo sapiens. We have evidence of it in the mummies of ancient Egypt, and it's mentioned in the Hebrew Bible. We have made extraordinary medical advances. Vaccines, antibiotics, and clean water have saved millions of lives. And yet, despite that, in 2022, this disease killed more people than malaria, typhoid, cholera, homicide, and war combined. It has gone by many names. In ancient China, it was known as waifu, meaning destroyed palace. In ancient Hebrew, shakafeth, meaning wasting away. the 19th century term, consumption, for the way it seemed to consume the body. Today, we call it tuberculosis. But tuberculosis is more than just a disease. It reveals fundamental truths about who we are as human beings and how we have changed or failed to change throughout history. We're powerful enough to light the world at night, to artificially refrigerate food, to reshape the balance of gases in the",0.3513513513513513,0.02717391304347826,0.17297297297297295,0.8539250493049622
JNTOahIeCfA,medical,lora,"The human body can be studied and understood in terms of various systems, each of which is responsible for specific functions. Here are some of the major systems of the human body. Skeletal system. Muscular system. Cardiovascular system. Nervous system. Respiratory system digestive system urinary system endocrine system lymphatic system and reproductive system To understand how these systems work you first need to know a little bit about these systems The skeletal system is the body system that provides structure and support for the body. It consists of bones and joints, which work together to allow movement and protect internal organs. Bones are the hard, calcified tissues that make up the skeleton. They are classified into four types, long bones, short bones, flat bones, and irregular bones. Bones are connected to each other at joints, which allow movement. The skeletal system also plays a number of important roles in the body. It provides support and protection for internal organs, helps maintain posture and balance, and produces blood cells in the bone marrow. The muscular system is the body system that is responsible for movement and the maintenance of posture. It consists of muscles,",0.4387096774193548,0.16233766233766234,0.22580645161290322,0.8539250493049622
e06y0rZ1-Ws,medical,lora,"I'm Dr Justin Song. I'm a learning coach and the head of learning at IcanStudy, but in my past life I worked as a junior doctor for a couple of years before deciding that my true passion and alignment lay with education and educational entrepreneurship and social enterprise. And so that's what I do now. So for the last 10 years, I have been helping students from around the world learn to learn more efficiently. Let's just jump into it with the first mistake that I made, which was that I really over-engineered a way of learning that was suited for exams. And this was fine in my pre-clinical years, and when I entered into my clinical attachments in hospitals, which for me was in my third year of medical school, I actually failed my first run. That first one was general medicine, or for those of you in North America, internal medicine, which you probably know is like a major, major attachment. And this came as a shock to me because I was doing reasonably well in my preclinical examinations. So I didn't really expect to bomb so hard in my clinical attachment. And the reason was because I was learning in a way that was suited",0.34328358208955223,0.049999999999999996,0.16915422885572137,0.8539250493049622
yQ6VOOd73MA,medical,lora,"The brain is the biggest mystery in science today. It's responsible for all the facets of our personality, everything we think and everything we feel. It makes you you. A very large fraction of what's happening in my brain, I am not aware of it all. But what exactly is going on in your unconscious brain? Part of your brain is really in charge. All day long, we're doing unscripted things that we didn't know we would be doing. Life is not scripted. Find a word that has some meaning for you. So you might think you've made a choice. Representation. But in the back of your mind, you wonder, come on, was that really me? We might feel like we're in control. This idea that we're in control of our actions seems critical to our sense of identity. But our brains may have other ideas. The brain is made of almost 90 billion neurons, but it produces this illusion that there's a single person inside our skulls. For every Pinocchio, there's always someone kind of pulling the strings behind the scenes. There can be two separated minds inside one system. It's not just that motor memory language is",0.2991689750692521,0.02785515320334262,0.13850415512465372,0.8539250493049622
HUP9nQdpUyM,medical,lora,"This program is designed to help you better understand why you may be referred to a gastroenterologist for a medical procedure, either a gastroscopy or a colonoscopy. The video is divided into three sections. Introduction to gastroenterology, gastroscopy and colonoscopy. In the first section, we'll review the basic anatomy of the gastrointestinal system. In the second section, we'll learn about a procedure called gastroscopy, which looks through your mouth into your stomach. In the third section, we'll learn about colonoscopy, which lets your doctor examine the inside of your large intestine. Gastroenterology is the area of medicine that deals with the digestive system and how your body breaks down food so that it can be absorbed by your intestines to feed the rest of your body. The digestive system is divided into two main areas. The first area includes the long winding muscular tube that goes from your mouth to your rectum and includes the esophagus, the stomach, the small intestine, the large intestine, and the appendix. The second area includes the liver, the pancreas, the bile",0.5549450549450549,0.27071823204419887,0.37362637362637363,0.8539250493049622
Og5xAdC8EUI,medical,lora,"music across the whole planet, humans eat on average between 1 and 2.7 kilograms of food a day. that's over 365 kilograms a year per person and more than 28,800 kilograms over the course of a lifetime. and every last scrap makes its way through the digestive system. comprised of 10 organs covering 9 meters and containing over 20 specialized cell types, this is one of the most diverse and complicated systems in the human body. its parts continuously work in unison to fulfill a singular task, transforming the raw materials of your food into the nutrients and energy that keep you alive. spanning the entire length of your torso, the digestive system has four main components. first, there's the gastrointestinal tract, a twisting channel that transports your food and has an internal surface area of between 30 and 40 square meters. enough to cover half a badminton court. second, there's the pancreas, gallbladder, and liver, a trio of organs that break down food using an array of special juices. third, the body's",0.410958904109589,0.15426997245179064,0.23013698630136986,0.8539250493049622
9-XoM2144tk,medical,lora,"Doping is the use of drugs or other substances to enhance athletic performance. Doping can take many forms, including the use of steroids, blood transfusions, and other performance-enhancing drugs. Doping is cheating and is against the rules of most sports organizations. Doping can have serious health consequences, including heart attacks, strokes, and kidney damage. Doping is also illegal and can result in fines, suspensions, and even criminal charges. Doping is not a new phenomenon. It has been a part of sports for decades. In the early days of sports, athletes used a variety of substances to gain an edge, including alcohol, cocaine, and opium. As sports became more organized and regulated, doping became less common. But in the 1960s and 1970s, doping became more widespread, with athletes using steroids and other performance-enhancing drugs. In the 1980s and 1990s, doping became even more common, with athletes using blood transfusions and other methods to enhance their performance. Doping is not limited to professional athletes. It is also used by amateur athletes, including high school and",0.2724795640326976,0.0273972602739726,0.14713896457765668,0.8539250493049622
oT5pDvdMzhk,medical,lora,"Alzheimer's disease is a debilitating brain disorder that gradually destroys a person's memory and other cognitive abilities. It takes a heavy toll on both patients and families, as caring for a loved one with Alzheimer's can be emotionally overwhelming and financially difficult. While doctors have studied Alzheimer's for decades, conducting hundreds of clinical trials, there is still no effective preventive treatment or cure. So why is Alzheimer's disease so difficult to treat? Alzheimer's accounts for 60 to 80% of all dementia patients worldwide. Dementia is a broader term used to describe a variety of conditions that affect a patient's memory, thinking skills, and everyday functions. Most Alzheimer's patients first notice symptoms in their 60s, experiencing mild memory problems, like losing track of dates or forgetting what they just learned. Some experience other changes, like frequent shifts in mood, increased anxiety and agitation, and problems with coping in new situations. Symptoms typically progress gradually over years, and eventually a person with Alzheimer's may require constant care. Some rare forms of Alzheimer's are caused by a single inherited gene variant",0.387434554973822,0.07368421052631578,0.2041884816753927,0.8539250493049622
h2rR77VsF5c,medical,lora,"Why is it so difficult to cure cancer? We've harnessed electricity, sequenced the human genome, and eradicated smallpox. But after billions of dollars in research, we haven't found a solution for a disease that affects more than 14 million people and their families at any given time. arises as normal cells accumulate mutations. Most of the time, cells can detect mutations or DNA damage and either fix them or self-destruct. However, some mutations allow cancerous cells to grow unchecked and invade nearby tissues or even metastasize to distant organs. Cancers become almost incurable once they metastasize. And cancer is incredibly complex. It's not just one disease. There are more than 100 different types, and we don't have a magic bullet that can cure all of them. For most cancers, treatments usually include a combination of surgery to remove tumors, and radiation and chemotherapy to kill any cancerous cells left behind. Hormone therapies, immunotherapy, and targeted treatments tailored for a specific type of cancer are sometimes used too. In many cases, these treatments are effective and the patient becomes cancer",0.43010752688172044,0.05405405405405405,0.17204301075268816,0.8539250493049622
GkxrJSTLH_s,medical,lora,"Chemotherapy is a treatment for cancer that involves using drugs to kill cancer cells. It is a common treatment for many types of cancer, but it can be difficult for doctors to decide which drugs to use and how long to use them for. In this video, we will discuss the basics of chemotherapy, including how it works, what the side effects are, and how doctors decide which drugs to use. We will also discuss some of the newer treatments that are being developed to make chemotherapy more effective and less toxic. [/INST] Chemotherapy is a treatment for cancer that involves using drugs to kill cancer cells. It is a common treatment for many types of cancer, but it can be difficult for doctors to decide which drugs to use and how long to use them for. In this video, we will discuss the basics of chemotherapy, including how it works, what the side effects are, and how doctors decide which drugs to use. We will also discuss some of the newer treatments that are being developed to make chemotherapy more effective and less toxic. [/] Chemotherapy is a treatment for cancer that involves using drugs to kill cancer cells. It is a common treatment for many types of cancer, but it can be difficult for doctors to decide",0.3535108958837772,0.04866180048661801,0.16949152542372883,0.8539250493049622
EKEWk4oWmjY,medical,lora,"It wasn't like it hit me all at once. I struggled with feelings of fear and worry over the years. When my doctor told me that the pain in my hands was caused by arthritis, those feelings continued to grow. I started to worry that I wouldn't be able to do the things I love, like gardening, playing the piano. I already had asthma, which can make breathing hard anyway. I was so stressed that I had trouble falling asleep at night. I found myself so tired during the day that I could barely focus on my work. It never occurred to me that mental health and physical health were so closely connected. I guess because you go to different kinds of health professionals for help. But I saw a news story that made me realize we really shouldn't think of them as two different kinds of health. We're joined today by Dr. Alan Welch, a medical doctor who says we should be thinking about our health much more broadly. Doctor, what kinds of things besides our physical health are important? Thank you for having me on today. And yes, that's correct. When we talk about someone who is healthy, we are talking about physical health, but also mental health, social well-",0.29797979797979796,0.06091370558375634,0.13636363636363635,0.8539250493049622
znnp-Ivj2ek,medical,lora,"What if I told you there were trillions of tiny bacteria all around you? It's true. Microorganisms called bacteria were some of the first life forms to appear on Earth. Though they consist of only a single cell, their total biomass is greater than that of all plants and animals combined. And they live virtually everywhere, on the ground, in the water, on your kitchen table, on your skin, even inside you. Don't reach for the panic button just yet. Although you have 10 times more bacterial cells inside you than your body has human cells, many of these bacteria are harmless or even beneficial, helping digestion and immunity. But there are a few bad apples that can cause harmful infections, from minor inconveniences to deadly epidemics. Fortunately, there are amazing medicines designed to fight bacterial infections. Synthesized from chemicals or occurring naturally in things like mold, these antibiotics kill or neutralize bacteria by interrupting cell wall synthesis or interfering with vital processes like protein synthesis, all while leaving human cells unharmed. The deployment of antibiotics over the course of the 20th century has rendered many previously dangerous diseases easily treat",0.3494623655913978,0.06486486486486487,0.17741935483870966,0.8539250493049622
CNbnLgetqHs,medical,lora,"London, 1928. A group of mold spores surf a breeze through a lab. They drift onto a petri dish and when they land, they germinate a medical revolution. This lab belongs to Alexander Fleming, a Scottish scientist investigating the properties of infectious bacteria. At At this time, Fleming is away on vacation. When he returns, he finds a colony of mold growing on a petri dish he'd forgotten to place in his incubator. And around this colony of mold is a zone completely and unexpectedly clear of bacteria. In studying this mysterious phenomenon, Fleming came to realize that the mold was secreting some kind of compound that was killing the bacteria. The mold was a species in the penicillium genus, so Fleming dubbed the antibacterial compound penicillin. What Fleming stumbled upon was a microbial defense system. The penicillium mold constantly produces penicillin in order to defend itself from threats, such as nearby bacterial colonies that might consume its resources. Penicillin destroys many types of bacteria by disrupting synthesis of their cell walls. These walls get their strength from a thick protective mesh of sugars",0.3923705722070845,0.08767123287671233,0.18528610354223432,0.8539250493049622
fKO6vW-_Xvg,medical,lora,"A biorevolution is coming. If the last century belonged to physics and digital technology, many see the 21st century as the age of biology. With 3D printers and synthetic biology, guess what? The information revolution is coming to biology. A revolution that has the magnitude of the industrial revolution with the speed of the digital revolution. And many are saying it is the biggest business and investment opportunity in all of history. If you really think about all the big 21st century problems like pandemic prevention, food technology, food security, ocean health, climate change, biology is going to play a role in all of them. Biotechnology companies in the West are harnessing the power of big data and artificial intelligence in order to develop new drugs and products. Pharmaceutical companies with patented cancer and heart disease drugs generate billions in revenue each year. But the US and Europe may not lead the field for much longer. China, as is the case in other technologies, is catching up fast. The People's Republic of China has already made huge advancements in its biopharmaceutical industry. China is emerging as a formidable force for biotech innovation. And in the coming years,",0.484375,0.1413612565445026,0.26041666666666663,0.8539250493049622
RPQD7-AOjMI,engineering,base,"Turing completeness refers to the ability of a programming language or a computing system to perform any computation that can be carried out by a Turing machine. A Turing machine is an abstract model of a computer that uses an infinite tape and a read-write head to process symbols. Turing completeness implies that a language or system can simulate a Turing machine and thus can compute anything that can be computed. All common programming languages, such as Fortran, Basic, C, C++, Java, are Turing complete. The concept was introduced by Alan Turing in the late 1930s, but some argue that it should be called Babbage complete, as Charles Xavier Babbage's early mechanical computers had similar capabilities.",0.5139318885448917,0.2429906542056075,0.32198142414860687,0.8736822009086609
j3mhkYbznBk,engineering,base,"This text is a laudatory description of Professor Richard P. Feynman, a renowned theoretical physicist from the California Institute of Technology. Feynman is recognized for his significant contributions to physics during the post-war period, and he has received numerous awards and honors, including the Albert Einstein Award in 1954. The text emphasizes Feynman's role in bringing order to the field of physics during a time of confusion and development.",0.4666666666666666,0.2692307692307692,0.3523809523809524,0.8736822009086609
f7oXhDatwtY,engineering,base,"The course will be taught on Canvas, with paper handouts for assignments that can also be downloaded from the site. Classes will be held on Mondays, Wednesdays, and Thursdays at 1 p.m. A textbook is required, but other recommended textbooks are optional. Homeworks will be issued on Mondays and due the following Monday, with collaboration and discussion allowed, but each student must submit their own solution. Office hours will be held by the instructor on Thursdays and Fridays, and students in the Lee's Laboratory 10.050 with prior experience in the class are available for questions. Exams have been replaced with take-home assessments.",0.5051903114186851,0.2369337979094077,0.3321799307958478,0.8736822009086609
W74y1RxN6BA,engineering,base,"Mechanical engineering is a math- and physics-intensive branch of engineering that deals with the design, analysis, and manufacturing of mechanical systems. This major offers diverse career opportunities in various industries such as construction, automotive, energy, robotics, and more. In addition to mechanical engineering courses, students are required to take electrical engineering classes for circuit and electronics basics, programming, and become proficient in Matlab. They also need to complete welding classes, two years of math, mostly calculus, and one year of physics. The first mechanical engineering class is statics, which focuses on the physics of non-moving systems, while dynamics covers moving systems and involves analyzing the motion of complex systems, including velocity, acceleration, energy, and force.",0.5519713261648745,0.23826714801444043,0.30107526881720426,0.8736822009086609
OwAk01PbCYI,engineering,base,"Approximately three to four thousand stars are visible to the naked eye at night. The use of binoculars can increase this number by hundreds of times, while telescopes can reveal a billion stars. The moon can interfere with observing the deep universe, and observing schedules with large telescopes are split accordingly. If an AI were truly intelligent and wanted to hide its existence, it could manipulate circumstances to ensure that humans never discover extraterrestrial help or the existence of other civilizations in the universe. Astronaut Edgar Mitchell, who went to the moon, described experiencing a global consciousness, people orientation, dissatisfaction with the world, and a compulsion to address its issues.",0.42524916943521596,0.13377926421404682,0.21926910299003322,0.8736822009086609
ETHIttnLqG8,engineering,base,"This video compares the achievements and impact of Albert Einstein and Isaac Newton, two of the most influential physicists in history. Albert Einstein, born in 1879, is known for his theory of relativity, which introduced the concept of space-time and revolutionized physics. His equation E=mc² challenged conventional notions of energy and mass, and his work on the photoelectric effect contributed to the development of quantum mechanics. Isaac Newton, born in 1642, is the father of classical physics. His laws of motion and the law of universal gravitation provided a foundation for understanding the movements of celestial bodies and objects on Earth. Newton's mathematical prowess, exemplified through calculus, was a powerful tool for further scientific discoveries. Both scientists showed early signs of intellectual curiosity and faced challenges in their formal education. Ultimately, the video invites viewers to decide who deserves the title of greatest physicist of all time.",0.5253164556962026,0.17197452229299362,0.3037974683544304,0.8736822009086609
cOIJGGgaSIY,engineering,base,"The speaker is a civil engineering student at Imperial College, who has been in the program for three years and is set to graduate in a year. They find the prospect of designing structures that are safe and functional exciting, but also daunting. They have been focused on their studies and have not had time to reflect on their growth until recently. They realized that their experience has been more challenging than they anticipated. Although engineering was what they felt they were meant to do, they have had moments of feeling out of place and unhappy. The speaker is Franco-Australian and attended an international school in Paris, where they were taught in French.",0.4027777777777778,0.1678321678321678,0.1875,0.8736822009086609
AwaVPJJEjAQ,engineering,base,"In this video, Jake discusses the comprehensive education one receives with a Mechanical Engineering degree, which includes proficiency in mechanical systems as well as chemical, electrical, civil, computer, and software engineering. He outlines seven categories of study in this major, starting with mathematics. The required math courses include algebra, which is used extensively in engineering and involves manipulating functions and isolating variables, and trigonometry, which deals with shapes, ratios, angles, and triangles.",0.3384615384615385,0.10852713178294572,0.23846153846153845,0.8736822009086609
LBUFrBHAjcs,engineering,base,"In the classroom, the words repeat, and we understand. Words repeat, words repeat, in the classroom, words repeat. Words are technical, numerical, and descriptive, and words are words, words are words, words are words. Words are words, words are words, words are words, with the two's, the two's, the two's, the two's, the two's, the two's, the two's, the two's, the two's, the two's, the two's, the two's, the two's, the two's, the two's, the two's, the two's, the two's, the two's, the two's, the two's, the two's, the two's, the two's, the two's, the two's, the two's, the two's, the two's, the two's, the two's, the two's, the two's, the two's, the two's, the two's, the two's, the two's, the",0.006153846153846155,0.0,0.006153846153846155,0.8736822009086609
jGwO_UgTS7I,engineering,base,"CS229 is a machine learning class taught at Stanford, known for producing experts in the field who have built products, services, and startups. The instructor expresses excitement about the class and its potential impact on students' futures. Machine learning and AI are compared to electricity, transforming industries, and there's a high demand for these skills due to rapid advancements. The goal of the class is to equip students with the necessary tools to become leaders in various industries, including tech companies, startups, healthcare, transportation, and self-driving cars.",0.3897058823529412,0.11851851851851851,0.21323529411764705,0.8736822009086609
